id,tooltip,image
1118201816237223967,whis,https://wallpapers-clan.com/wp-content/uploads/2022/08/juice-wrld-pfp-1.jpg
1118201816237223967,w,https://cdn.discordapp.com/emojis/1142990602477244516.gif?size=96&quality=lossless
1118201816237223967,h,https://cdn.discordapp.com/emojis/1142990601026031636.gif?size=96&quality=lossless
1118201816237223967,i,https://cdn.discordapp.com/emojis/1142990598689783869.gif?size=96&quality=lossless
1118201816237223967,s,https://cdn.discordapp.com/emojis/1142990597418913913.gif?size=96&quality=lossless
1118201816237223967,Ice Cube,https://discord.com/assets/fd6114328c436e5a111d326d05af3b9a.svg
668233799942799360,nazi,https://asianlite.com/wp-content/uploads/2023/06/Flag_of_Germany_1935%E2%80%931945_square_version.jpeg
668233799942799360,kkk,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Emblem_of_the_Ku_Klux_Klan.svg/800px-Emblem_of_the_Ku_Klux_Klan.svg.png
